year,boro,neighborhood,station_count,ride_count
2013,Brooklyn,Bedford-Stuyvesant,5,11752
2013,Brooklyn,Boerum Hill,2,12150
2013,Brooklyn,Brooklyn Heights,6,40977
2013,Brooklyn,Clinton Hill,10,36155
2013,Brooklyn,Columbia Street Waterfront District,1,6610
2013,Brooklyn,Downtown Brooklyn,7,58305
2013,Brooklyn,DUMBO,5,26415
2013,Brooklyn,Fort Greene,13,48060
2013,Brooklyn,Greenpoint,2,20896
2013,Brooklyn,Park Slope,1,8299
2013,Brooklyn,Prospect Heights,3,18363
2013,Brooklyn,Williamsburg,6,23027
2013,Manhattan,Battery Park City,4,105588
2013,Manhattan,Chelsea,19,471031
2013,Manhattan,Chinatown,5,63528
2013,Manhattan,Civic Center,4,63772
2013,Manhattan,Columbus Circle,2,58070
2013,Manhattan,East Village,19,331738
2013,Manhattan,Financial District,13,158355
2013,Manhattan,Flatiron District,2,62148
2013,Manhattan,Garment District,4,98845
2013,Manhattan,Gramercy,3,47910
2013,Manhattan,Greenwich Village,10,204307
2013,Manhattan,Hell's Kitchen,12,212113
2013,Manhattan,Herald Square,1,22435
2013,Manhattan,Hudson Square,2,22947
2013,Manhattan,Hudson Yards,3,47859
2013,Manhattan,Kips Bay,7,131405
2013,Manhattan,Little Italy,4,88432
2013,Manhattan,Lower East Side,16,186241
2013,Manhattan,Meatpacking District,1,20150
2013,Manhattan,Midtown,2,39098
2013,Manhattan,Midtown East,9,126134
2013,Manhattan,Midtown South,4,74323
2013,Manhattan,Murray Hill,3,63978
2013,Manhattan,NoHo,2,69665
2013,Manhattan,NoMad,1,20208
2013,Manhattan,Rose Hill,1,19595
2013,Manhattan,SoHo,4,80617
2013,Manhattan,Stuy Town,3,51501
2013,Manhattan,Theater District,7,154341
2013,Manhattan,Tribeca,10,141854
2013,Manhattan,Tudor City,1,8448
2013,Manhattan,Turtle Bay,6,68728
2013,Manhattan,Two Bridges,5,31995
2013,Manhattan,Union Square,3,87808
2013,Manhattan,West Village,10,228633
2013,Queens,Astoria,0,0
2013,Queens,Fresh Pond Junction,0,0
2013,Queens,Long Island City,0,0
2013,Queens,Ridgewood,0,0
2013,Queens,Steinway,0,0
2013,Queens,Sunnyside,0,0
2013,Queens,Sunnyside Gardens,0,0
2013,Queens,Woodside,0,0
2013,The Bronx,Bronx County,0,0
2013,The Bronx,Claremont,0,0
2013,The Bronx,Melrose,0,0
2013,The Bronx,Mott Haven,0,0
2013,The Bronx,Woodstock,0,0
2014,Brooklyn,Bedford-Stuyvesant,5,17231
2014,Brooklyn,Boerum Hill,2,18792
2014,Brooklyn,Brooklyn Heights,6,48942
2014,Brooklyn,Clinton Hill,10,58347
2014,Brooklyn,Columbia Street Waterfront District,1,9953
2014,Brooklyn,Downtown Brooklyn,7,65014
2014,Brooklyn,DUMBO,5,43788
2014,Brooklyn,Fort Greene,13,74141
2014,Brooklyn,Greenpoint,2,32390
2014,Brooklyn,Park Slope,1,11396
2014,Brooklyn,Prospect Heights,3,22836
2014,Brooklyn,Williamsburg,6,34057
2014,Manhattan,Battery Park City,4,167082
2014,Manhattan,Chelsea,19,764281
2014,Manhattan,Chinatown,5,113220
2014,Manhattan,Civic Center,4,96335
