zipcode,Afternoon (12PM - 4PM),Early Evening (5PM - 9PM),Early Morning (12AM-4AM),Late Evening (10PM - 11PM),Late Morning (9AM - 11AM),Morning (5AM-8AM)
10000,33635,30150,2905,3846,11221,5880
10001,270171,257733,24283,32350,111662,90409
10002,369030,322078,47830,51270,173784,119720
10003,403873,383491,47058,63512,155643,105026
10004,48112,32775,1485,2500,11826,7666
10005,44854,49724,5130,7208,17977,13330
10007,29848,32898,1690,2819,11258,8350
10009,365575,332818,53764,55612,182978,149174
10010,162290,140244,9407,15256,60507,48352
10011,331801,324192,33565,48606,142794,103349
10012,191663,187052,23191,28775,68778,39213
10013,143835,156078,14310,20923,49231,29717
10014,258848,248628,38524,50316,113146,87447
10016,164584,168721,16049,24063,75619,63754
10017,154078,144277,10413,15885,66031,59893
10018,166047,170589,18502,24090,77047,88973
10019,269381,270754,30365,38578,116149,95955
10021,95896,75252,5675,9594,43047,38512
10022,147769,124365,8208,12727,53420,38370
10023,205216,180404,12091,22866,77857,67774
10024,141108,122818,9543,17318,60869,64070
10025,205386,183785,16343,24343,88973,88806
10026,76711,58250,5905,8420,33265,27127
10027,95491,83484,10077,13056,40912,29581
10028,102283,88267,7277,12425,43721,48138
10029,137304,119315,10651,14461,55153,56853
10030,21127,18195,4546,3825,9561,9579
10031,24361,24993,4243,4714,11279,10540
10032,26513,22794,4023,3561,9520,8996
10033,15783,13817,2583,2263,5603,5239
10034,12664,10713,425,928,4232,2612
10035,100458,86453,9596,13269,40970,33942
10036,143723,152373,18971,22669,63121,66478
10037,128020,120491,12574,15689,53819,58540
10038,92834,88856,7839,11170,37615,28264
10039,23963,20466,4494,4237,10265,8076
10040,8337,7262,1823,1529,3547,3376
10044,15155,13372,598,1504,5787,3897
10045,35648,37062,2029,3444,14090,9583
10055,15849,13499,267,560,3529,1972
10065,50631,50026,4450,6314,22915,20359
10069,28456,28502,1637,3227,14135,18477
10075,70181,54943,4242,7382,28774,31717
10107,79213,63386,6189,8567,34883,21067
10111,23685,17736,1423,1701,7264,2852
10115,14736,12806,1684,2141,6315,4977
10120,25419,27487,3208,4136,9054,7364
10128,89162,81876,7395,11901,42196,49934
10129,37013,28529,1543,2682,14392,11073
10152,13974,10388,851,1061,5500,4084
10153,34685,23663,1107,1847,10751,3680
10155,4454,4339,169,731,2351,2193
10275,17237,15547,675,1259,5016,2872
10280,38344,32358,1092,2321,16573,12969
10281,34815,33260,1360,3244,12748,10080
10282,105010,124724,5682,12675,36543,28671
10451,24576,24366,4556,5360,8539,6234
10452,11103,11070,2313,2466,3910,4310
10453,1079,771,248,285,391,303
10454,24156,20154,3770,3471,8261,7663
10455,17637,14627,3365,2865,6048,4829
10456,13205,12088,2872,3263,4374,4904
10457,2216,1793,383,376,644,466
10459,4828,4065,921,1007,1227,1253
10460,371,371,120,77,130,177
10474,252,166,52,70,46,42
11101,118977,119769,12318,17178,49964,38062
11102,24690,23855,2807,3855,11457,11771
11103,11003,10183,1319,1569,5191,5190
11105,18742,19464,1937,2745,7990,7472
11106,54431,51587,5599,7388,25258,19325
11109,31277,33360,2349,4559,12906,11435
11201,187461,182504,14419,25318,77920,51648
11205,54337,51381,4628,6383,25560,20840
11206,77744,78199,16791,16272,35246,23273
11207,59967,57457,9390,10592,27294,18085
11208,16636,15677,1213,2613,6252,3753
11211,201193,220061,37702,44031,89704,61333
11213,31398,31046,3184,6042,13828,9692
11215,144811,130746,9773,19581,63643,47630
11216,53421,53417,6989,9560,26541,21454
11217,109462,101061,7907,15116,48145,34225
11221,136702,133384,26441,26089,67530,50220
11222,114660,118465,14001,18834,55359,42647
11225,30644,26981,2672,3750,14441,10466
11227,8631,8752,631,1152,3874,2095
11231,128207,113381,7464,16804,55267,43476
11232,17337,9328,289,740,3861,1371
11233,26895,25864,4098,4998,12830,7668
11237,71223,72607,21076,15856,29134,19539
11238,132047,129676,12483,19663,64735,52360
11249,123243,131967,20011,25117,51338,28368
11251,13333,13133,604,1578,5173,2974
11369,11605,10590,934,1420,6104,5634
11373,2306,1796,111,133,1071,683
11385,23068,23586,7664,6244,10684,8701
11415,660,736,883,302,161,89
