date,num_trips_per_day,Temperature_Max,Temperature_Avg,Temperature_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind Speed_Max,Wind Speed_Avg,Wind Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Min,Precipitation_Avg,Precipitation_Max
11/7/2021,78015,55,50.1,44,37,32,26,71,51.4,33,7,4.7,0,30.3,30.2,30.1,0,0,0
10/22/2020,83848,69,66.9,65,63,62.3,62,90,85.2,78,7,3.3,0,30.2,30.2,30.2,0,0,0
1/22/2020,43415,38,32.5,27,23,15.5,9,61,50,39,7,3.4,0,30.5,30.4,30.4,0,0,0
1/14/2021,47832,50,44.1,40,33,30.8,28,68,60.1,44,7,4.4,0,29.9,29.8,29.8,0,0,0
10/13/2021,108312,70,68.1,65,62,59.4,57,81,74,68,8,4.2,0,30,30,29.9,0,0,0
12/25/2019,13082,42,37.5,34,33,25.8,19,86,63.7,50,8,6.3,3,30.2,30.2,30.1,0,0,0
10/7/2021,113774,76,69,64,61,58.8,55,87,70.8,50,8,4,0,30.3,30.2,30.1,0,0,0
11/12/2018,50568,49,45,39,41,28.5,21,80,54,34,8,5.4,0,30.4,30.4,30.2,0,0,0
11/6/2021,83383,54,48.9,44,33,29.2,24,61,47.5,31,8,5.3,0,30.4,30.4,30.3,0,0,0
2/1/2020,35542,41,38.6,37,37,34.9,33,93,87,79,8,4.8,0,30.1,29.9,29.6,0,0.01,0
1/11/2018,33961,47,40.1,35,39,35.4,31,96,83.9,71,8,5.4,0,30.4,30.3,30.2,0,0,0
10/6/2021,109179,70,66,62,59,55.9,54,80,70.5,57,8,4.7,0,30.4,30.3,30.3,0,0,0
1/3/2020,31873,49,46.7,45,44,40.9,33,90,80.5,58,8,4.9,0,29.8,29.8,29.7,0,0.05,0
6/3/2021,69093,73,65.3,61,64,60.2,55,93,83.9,71,9,6.3,3,30.1,30,29.9,0,0,0
11/25/2021,34395,57,49.5,41,33,23.5,19,53,37.3,25,9,5.9,0,30.2,30,29.8,0,0,0
9/25/2021,123387,76,69.7,63,55,51.1,47,72,52.8,36,9,4.8,0,30,30,29.9,0,0,0
12/21/2021,50062,42,38.7,33,33,23.2,19,70,53.8,45,9,6.2,0,30.2,30,29.8,0,0,0
9/21/2019,98755,85,73.5,63,67,54.3,43,72,53.2,23,9,3.9,0,30.2,30.2,30.1,0,0,0
1/23/2020,48258,46,39.5,31,29,19.5,14,64,46.8,28,9,4.3,0,30.4,30.4,30.3,0,0,0
1/8/2019,41163,46,42.6,36,43,38.7,24,96,86.4,62,9,5.8,0,30.3,29.9,29.6,0,0.07,0
7/20/2021,110023,88,82.7,75,67,64.9,63,71,55.6,43,9,6.4,3,29.9,29.9,29.8,0,0.01,0
6/9/2021,110672,90,82.1,74,69,67.1,64,82,61.7,43,9,5.1,0,30,29.9,29.9,0,0.47,0
11/9/2021,95261,71,61,51,47,43.4,40,77,54,35,9,3.3,0,30.1,30.1,30,0,0,0
8/3/2021,107480,79,73.4,68,56,52.5,50,65,48.6,37,9,5,0,30.1,30.1,30.1,0,0,0
12/20/2020,16340,40,36.5,33,34,26.9,16,86,69.6,48,9,4.7,0,30.3,30.1,29.9,0,0,0
1/21/2018,27908,52,46.3,43,35,29.6,27,66,52.7,41,9,5.1,0,30.2,30.1,30,0,0,0
1/31/2020,47284,43,37.6,33,34,29.9,23,87,73.8,66,9,6.9,5,30.3,30.3,30.1,0,0,0
9/9/2020,84416,80,75.7,72,69,66.7,65,81,73.9,60,9,6.4,0,30.3,30.3,30.2,0,0,0
11/4/2021,84562,52,47.4,42,29,25.4,21,60,43.5,31,9,7,5,30.4,30.3,30.3,0,0,0
1/31/2022,22463,30,26.1,21,13,8.6,4,60,47.8,40,9,6.5,3,30.4,30.3,30.2,0,0,0
11/11/2019,64883,61,54.8,49,52,41.9,34,84,62.7,44,10,5.9,0,30.1,30,29.8,0,0,0
11/26/2019,63638,59,51.9,44,45,38.6,35,76,61.7,42,10,6.7,3,30,30,29.9,0,0,0
5/17/2018,49789,73,62,55,62,57.4,54,100,85.8,66,10,5.6,0,30.1,30,29.9,0,0.64,0
8/16/2019,81541,81,75.2,70,69,65.4,63,84,71.8,58,10,7.9,5,30,30,30,0,0,0
10/28/2020,62847,59,55.4,53,55,49.1,41,97,80.1,57,10,6.1,0,30.1,30,29.9,0,0.05,0
11/30/2018,45389,43,40.5,39,35,30.5,26,79,68.1,56,10,5.4,0,30.1,30,30,0,0,0
12/12/2020,53499,56,50.7,44,53,46.4,38,90,84.9,74,10,6.3,0,30.1,30,29.9,0,0,0
3/20/2021,64129,59,45.1,35,28,17.1,11,50,34.3,16,10,6.3,3,30.6,30.5,30.4,0,0,0
3/21/2021,67978,61,49.1,38,35,25.3,16,79,44.8,17,10,4.8,0,30.6,30.5,30.4,0,0,0
12/21/2019,24247,35,30.1,24,26,18.5,12,72,62.1,56,10,4.8,0,30.6,30.5,30.4,0,0,0
11/7/2020,98467,76,66.6,57,45,43,41,62,43.9,29,10,3.8,0,30.3,30.2,30.2,0,0,0
10/14/2018,53824,60,55.8,52,42,38.8,36,62,53.3,42,10,6.8,0,30.2,30.2,30.1,0,0.03,0
5/8/2018,74313,71,61.7,54,51,48.2,46,77,62,47,10,6.3,0,30.3,30.2,30.2,0,0,0
1/11/2021,36106,38,34.3,31,26,21.8,19,73,60.4,52,10,3.1,0,30.3,30.2,30.1,0,0,0
2/10/2018,16324,51,43.2,39,44,39.2,33,97,86.1,74,10,4.7,0,30.4,30.2,30,0,0,0
2/23/2019,31608,38,35.9,32,32,24.5,20,86,63.7,55,10,7.8,5,30.5,30.4,30.2,0,0,0
1/10/2018,28252,40,35,28,33,24.4,19,77,66,50,10,6,0,30.5,30.4,30.4,0,0,0
3/27/2018,41354,44,39.8,35,26,22.3,18,67,50.3,38,10,6.5,0,30.6,30.4,30.2,0,0,0
1/16/2018,30278,34,29.7,25,30,23.8,16,87,78.7,69,10,7.3,3,30.5,30.4,30.3,0,0,0
2/6/2018,34102,38,33.1,28,23,15.7,8,59,49.1,37,10,6.9,0,30.5,30.4,30.3,0,0,0
2/25/2020,39568,51,47.4,44,43,41.3,33,93,80.4,52,10,6.7,3,29.9,29.9,29.8,0,0,0
9/25/2019,94015,79,70.5,62,61,50.8,45,70,51.1,30,10,7.6,0,29.9,29.9,29.8,0,0,0
10/3/2021,106813,80,72,63,66,57.2,50,78,61.5,35,10,5.5,0,30,29.9,29.9,0,0,0
5/4/2019,56023,66,54.7,50,58,52.7,50,100,93.4,73,10,4.5,0,30,29.9,29.8,0,0.18,0
8/4/2019,66868,87,78.8,71,68,64.1,58,90,63,37,10,5.8,0,29.9,29.9,29.8,0,0.12,0
7/8/2019,68030,81,74.6,70,64,60.2,54,81,62.2,40,10,5.2,0,30,29.9,29.9,0,0,0
11/28/2021,40857,43,38.2,34,31,27.2,15,76,65.1,41,10,4.9,0,29.9,29.9,29.8,0,0,0
9/19/2018,74360,82,75.2,71,69,66,64,85,73.4,58,10,7.4,3,30,29.9,29.8,0,1.98,0
12/31/2021,47824,54,51,48,47,45.5,44,93,81.7,72,10,6.7,0,29.9,29.9,29.9,0,0,0
12/30/2021,45948,49,45.9,43,44,41.7,40,93,85.5,80,10,5.6,0,29.9,29.9,29.9,0,0.05,0
1/13/2022,50982,45,39.7,34,34,27.9,19,79,63.3,46,10,5.8,0,30.1,29.9,29.8,0,0,0
10/5/2020,75795,68,62.5,56,54,49.6,46,75,63.3,47,10,7.1,3,30.1,30.1,30,0,0,0
10/12/2021,106701,70,66.2,63,59,57.6,56,84,73.8,63,10,6.6,3,30.1,30.1,30,0,0,0
3/17/2021,46691,47,40.2,34,37,31.3,26,76,70.7,61,10,7.3,5,30.2,30.1,30.1,0,0,0
10/23/2020,86939,70,65.7,64,62,60.4,57,93,83.3,71,10,6.4,3,30.2,30.1,30,0,0,0
10/7/2018,60525,81,74.7,70,69,66.8,64,87,77,62,10,5.6,0,30.2,30.1,30.1,0,0,0
8/6/2020,79130,82,77.7,74,65,60.3,54,73,55.6,42,10,6.3,0,30.1,30.1,30,0,0,0
12/1/2018,37561,45,42,38,39,33.5,28,89,72.8,52,10,6.5,3,30.2,30.1,30.1,0,0.01,0
11/19/2018,53950,51,46.8,41,43,38.6,33,87,73.6,63,10,5.2,0,30.2,30.1,29.9,0,0,0
11/29/2020,52557,56,49.8,42,31,26.1,16,55,41,21,10,6,0,30.1,30.1,30.1,0,0,0
8/27/2019,82744,76,69.4,65,59,56,53,75,62.7,50,10,7.1,3,30.1,30.1,30,0,0,0
8/5/2018,58381,94,85.5,78,70,65.9,59,71,53.1,32,10,4.8,0,30.1,30.1,30.1,0,1.34,0
8/13/2020,62427,82,77.8,76,72,69.1,63,85,74.9,58,10,6.1,0,30.1,30.1,30,0,1.49,0
8/31/2020,75665,76,72.1,67,61,55.9,51,65,57.1,42,10,7.5,5,30.1,30.1,29.9,0,0,0
7/25/2019,86449,85,78.5,72,65,58.2,49,76,51.4,29,10,6.1,0,30.1,30.1,30,0,0,0
12/25/2021,15964,51,42.3,36,44,37.3,29,93,82.8,74,10,5.8,0,29.9,29.6,29.4,0,0.05,0
1/26/2018,33073,38,33,28,23,10,1,61,39.6,30,10,6.8,0,30.7,30.6,30.6,0,0,0
3/9/2019,38928,47,39.3,34,27,22,9,67,52.2,21,10,7.2,0,30.3,30.3,30.2,0,0,0
9/19/2019,89655,70,62,54,49,40.3,21,62,47.8,16,10,7.8,5,30.4,30.3,30.3,0,0,0
11/1/2018,73175,70,62.9,58,57,53.2,49,84,71.1,55,10,7.5,3,29.9,29.8,29.7,0,0,0
6/1/2019,76419,79,69.8,63,60,56,50,81,63,39,10,7.5,3,29.8,29.8,29.8,0,0,0
6/1/2018,62877,81,69.7,64,69,65.4,62,97,86.6,67,10,6.4,3,29.9,29.8,29.7,0,0.08,0
6/19/2019,63674,71,67.3,64,66,64.6,64,100,91.2,78,10,6.8,3,29.9,29.8,29.7,0,0.53,0
12/18/2021,38789,50,43.7,40,43,36,21,93,76.7,33,12,7.5,5,30.2,30,29.8,0,0.01,0
4/5/2020,25755,62,52.8,47,46,43.3,41,83,71.1,52,12,6.1,0,30,30,29.9,0,0,0
9/17/2020,87490,77,71.8,67,65,60.5,56,78,68,54,12,6.7,3,30.1,30,29.9,0,0,0
2/4/2019,46376,58,46.7,38,40,33.9,29,82,62.3,42,12,5.3,0,30.1,30,30,0,0,0
6/26/2019,83301,90,78.5,69,69,62.2,52,97,62.9,29,12,6.2,0,30,30,29.9,0,0.03,0
8/1/2019,87706,87,80.2,73,69,59.1,51,85,52.1,32,12,6.5,0,30.1,30,30,0,0.58,0
7/28/2021,110956,82,75.8,71,65,62.1,56,78,63.3,41,12,8,0,30,30,29.9,0,0.2,0
6/8/2020,60847,80,72,64,52,44.9,38,52,39,25,12,7.2,0,30,30,29.9,0,0,0
4/27/2021,78507,61,54.7,49,42,24.8,12,62,33.4,20,12,6.7,0,30.1,30,29.9,0,0,0
3/25/2021,63815,67,55.3,46,55,50.2,44,97,83.7,65,12,6,0,30.1,30,30,0,1.32,0
4/7/2021,76766,71,58,51,38,33,27,59,39.9,25,12,5.7,0,30.1,30,29.9,0,0,0
11/11/2020,46257,70,66.2,62,64,61.7,57,90,85.6,78,12,6.8,0,30.1,30,29.9,0,0,0
3/28/2018,42520,52,44.2,39,41,36.5,32,87,74.8,61,12,6.5,0,30.2,30,30,0,0.04,0
6/30/2018,54723,95,84.3,74,66,59.5,55,62,44.6,27,12,5.8,0,30.1,30,30,0,0,0
8/27/2018,67622,91,83.6,77,71,68.3,66,74,60.6,45,12,6.8,0,30.1,30,30,0,0,0
7/1/2018,45266,96,88.6,79,70,67.2,65,66,49.5,36,12,6.2,0,30,30,29.9,0,0,0
8/11/2019,73365,82,75.6,68,54,51,47,56,42.8,29,12,7.2,0,30,30,29.9,0,0,0
12/30/2018,22329,39,36.7,33,31,26.4,21,75,66.6,53,12,7,5,30.3,30.2,30.1,0,0,0
