station_name_cleaned,num_trips
1 Ave & E 110 St,64264
1 Ave & E 15 St,154638
1 Ave & E 16 St,386025
1 Ave & E 18 St,387438
1 Ave & E 30 St,356339
1 Ave & E 39 St,86402
1 Ave & E 44 St,238349
1 Ave & E 5 St,51459
1 Ave & E 6 St,54235
1 Ave & E 62 St,296072
1 Ave & E 68 St,474062
1 Ave & E 78 St,302967
1 Ave & E 94 St,95664
1 Pl & Clinton St,46457
1 St & 6 Ave,8639
10 Ave & W 14 St,66583
10 Ave & W 202 St,1134
10 Ave & W 204 St,771
10 Ave & W 207 St,2507
10 Ave & W 215 St,1101
10 Ave & W 28 St,262932
10 Hudson Yards,12541
10 St & 2 Ave,11603
10 St & 5 Ave,39811
10 St & 7 Ave,61917
11 Ave & Prospect Ave,6665
11 Ave & W 27 St,420564
11 Ave & W 41 St,425998
11 Ave & W 59 St,324742
11 St & 35 Ave,4521
11 St & 43 Ave,13058
12 Ave & 36 St,2708
12 Ave & W 125 St,59530
12 Ave & W 40 St,642836
12 St & 4 Ave,27906
14 St & 5 Ave,62555
14 St & 7 Ave,58779
16th St & 4th Ave,4262
17 St & 5 Ave,11041
18 St & 27 Ave,6709
19 St & 24 Ave,30394
19 St & 8 Ave,1628
2 Av & 37 St,896
2 Ave  & E 104 St,8058
2 Ave & 29 St,257
2 Ave & 32 St,1525
2 Ave & 36 St,13364
2 Ave & 36 St - Citi Bike HQ at Industry City,16216
2 Ave & 9 St,10259
2 Ave & E 104 St,57924
2 Ave & E 105 St,1
2 Ave & E 122 St,26216
2 Ave & E 125 St,17114
2 Ave & E 29 St,58855
2 Ave & E 31 St,435649
2 Ave & E 55 St,37670
2 Ave & E 58 St,60746
2 Ave & E 72 St,133724
2 Ave & E 96 St,136571
2 Ave & E 99 St,48616
20 Ave & 21 St,1646
20 Ave & 33 St,1989
20 Ave & 38 St,5806
20 Ave & 42 St,1420
20 Ave & 48 St,1094
20 Ave & Shore Blvd,1137
21 Ave & 80 St,961
21 Ave & Crescent St,5923
21 Ave & Shore Blvd,2715
21 St & 21 Ave,4221
21 St & 23 Ave,3536
21 St & 31 Dr,30910
21 St & 36 Ave,12584
21 St & 38 Ave,8062
21 St & 4 Ave,5576
21 St & 41 Ave,3752
21 St & 43 Ave,21327
21 St & Hoyt Ave S,27823
21 St & Queens Plaza North,41977
23 Ave & 27 St,15700
23 Rd & 29 St,1588
23 Rd & 31 St,223
23 St & 3 Ave,1373
24 Ave & 26 St,20757
24 Ave & 29 St,21401
24 St & 38 Ave,4586
24 St & 41 Ave,29284
24 St & 41 Ave (original),219
24 St & 5 Ave,5592
25 Ave & 41 St,6300
27 Ave & 3 St,7780
27 Ave & 4 St,2403
27 Ave & 9 St,17869
27 St & Hunter St,44223
28 Ave & 35 St,31253
28 Ave & 44 St,19202
28 St & 36 Ave,22772
28 St & 38 Ave,9873
28 St & 40 Ave,2288
28 St & 41 Ave,46430
29 St & 5 Ave,1626
3 Ave & 14 St,29971
3 Ave & 17 St,1945
3 Ave & Carroll St,16216
3 Ave & E 100 St,29152
3 Ave & E 112 St,26654
3 Ave & E 163 St,4064
3 Ave & E 169 St,3695
3 Ave & E 170 St,3359
3 Ave & E 172 St,2263
3 Ave & E 174 St,601
3 Ave & E 174 St - Bathgate Vaccination Site,3148
3 Ave & E 62 St,154904
3 Ave & E 71 St,75837
3 Ave & E 72 St,70890
3 Ave & E 95 St,14115
3 Ave & Franklin Ave,2748
3 Ave & Schermerhorn St,88508
3 Ave & Wakeman Pl,2089
3 St & 3 Ave,64704
3 St & 7 Ave,78648
3 St & Hoyt St,32570
3 St & Prospect Park West,115474
